Departamento,Barrio/Localidad,Organización,Actividad/es,Necesidades,Número de contacto,Otro contacto,Dirección,Horario,Aclaraciones Adicionales,Cuenta Banco,Coordenada Latitud,Coordenada Longitud
Montevideo,Cerro,Ateneo Cerro,Punto de Donación,"Alimentos no perecederos, frutas y verduras, productos de higiene",099563819,,Grecia esq. Perú,,,,-34.878388,-56.250416
Montevideo,Cruz de Carrasco,La Pascua,Punto de Donación,Alimentos,25258077 ,092465261,Agazzi 2707,10 a 15 hs,También retiran a domicilio,,-34.871321,-56.097258
Montevideo,Flor de Maroñas,Iniciativa vecinal Club Flor de Maroñas,Olla,Alimentos,097 098 032  097 474 368  094 098 578,,Manuel Acuña y Del Fuerte,L a V 20:30 hs.S y D 14 hs..,Llevar vianda,,-34.851076,-56.117720
Montevideo,La Teja,Iniciativa vecinal,Punto de Donación,Alimentos,098 600 393,,Emilio Romero y Agustín Muñoz,,,,-34.866492,-56.228167
Montevideo,La Teja,Club de la Alegría,Punto de Donación,Alimentos y productos de higiene.,092 279 519,,Dionisio Coronel 963,,Coordinación telefónica,,-34.867601,-56.235463
Montevideo,La Teja,Bar DALE GAUCHO,Olla,Alimentos y otro tipo de donaciones,094413087,,Emilio Romero 952 esq Heredia,13 a 15 hs,"Reciben donaciones, de 10 a 18 hs (Hablar con Luis Ramos) Almuerzo de 13 a 15 hs. - Llevar vianda Martes y jueves",,-34.870646,-56.232576
Montevideo,Los Bulevares,Comisión fomento,Merienda,Alimentos y otro tipo de donaciones,097151643  096671054  091067740,,Ideario Artiguista y Liga Federal,,"Reciben donaciones en:  Panadería ""El Oeste"" (frente a Red Market);   Ferretería ""El Destino (I. Artiguista 1865)  Almacén ""El Nogal"" (Cimarrones 7655)",,-34.820697,-56.282861
Montevideo,Nuevo España,Iniciativa vecinal,Olla,Alimentos,25119629 ,095495706,Servidumbre 705 (Salón comunal),,Olla popular y merienda,,-34.819877,-56.090126
Montevideo,Paso Carrasco,El Abrojo Paso Joven SOCAT,Punto de Donación,Reciben donaciones,098 103 973,,Vaz Ferreira 52  , L a V de 13 a 18 hs.,Coordinación telefónica.,,-34.853175,-56.047211
Montevideo,Ciudad Vieja,Olla Solidaria Barrial,Olla,"Alimentos no perecederos, frutas y verduras, carne, productos sanitarios (tapabocas, guantes, alcohol en gel, detergente,etc)",098141813  094053638,,Pérez Castellano y Sarandí,,Distribución de viandas - Sábado y Domingo al mediodía,,-34.908129,-56.209865
Canelones,Lagomar,Escuela Legado Box,Canasta,Alimentos no perecederos,093818549  094306437,,Calle 34 Solar 38 Manzana 63,,Tienen posibilidad de ir a buscar donaciones,,-34.821545,-55.988923
Canelones,Lagomar,Mujeres en Alerta,Punto de Donación,"Alimentos, productos de higiene, juegos/juguetes",091786159  094972263,,Becú y Av. Giannattasio (Plaza 8 de Marzo),,,,-34.834563 ,-55.982447
Montevideo,Prado,Comité Bile Martínez,Punto de Donación,Alimentos y productos de higiene,092769462 094762392 098394643,,Islas Canarias 4264 esq. Juan Lavalle,,"Pasan a buscar donaciones, colaboran con La Olla y reparten en zonas vulnerables",,-34.850374,-56.206733
Montevideo,Punta de Rieles,Capilla Santo Domingo,Punto de Donación,Alimentos no perecederos y artículos de limpieza,098291299,,Camino Maldonado 5842 y Venecia,,,,-34.838990,-56.120792
Montevideo,Paso de la Arena,Iniciativa vecinal - Villa Sarandí,Punto de Donación,Alimentos,    091 881 443,,Romeo Gavioli y Dolores Candales S/N ,Todos los días de 14 a 19 hs.,,,-34.842495,-56.260876
Montevideo,Peñarol,Comité Peñarol,Punto de Donación,Alimentos no perecederos,095281659,,Aparicio Saravia y Shakespeare,16 a 17 hs,Reciben donaciones los miércoles y viernes o se puede coordinar para retirar a domicilio.,,-34.825392,-56.202790
Montevideo,Nuevo París,C.A.Villa Teresa,Olla,Reciben todo tipo de donaciones,094951553,,Islas Canarias 4978,Todos los días partir de las 13 hs,,,-34.840308,-56.225479
